time,type,value,duration
48:29.4301,state,working,11
48:40.2792,state,idle,0
48:40.2792,state,working,1
48:41.0792,state,idle,0
48:41.0792,state,working,7
48:48.3586,state,idle,0
48:48.3586,state,working,8
48:55.9461,state,idle,0
48:55.9461,state,working,3
48:59.1722,state,idle,0
48:59.1722,state,working,7
49:05.9316,state,idle,0
49:05.9316,state,working,5
49:10.7095,state,idle,0
49:10.7095,state,working,7
49:17.5794,state,idle,0
49:17.5794,state,working,8
49:25.5794,state,idle,0
49:25.5794,state,working,8
49:33.5794,state,idle,0
49:33.5794,state,working,8
49:41.5794,state,idle,0
49:41.5794,state,working,8
49:49.5794,state,idle,0
49:49.5794,state,working,12
50:02.0330,state,idle,0
50:02.0330,state,working,27
50:29.1708,state,idle,0
50:29.1708,state,working,7
50:35.9586,state,idle,0
50:35.9586,state,working,2
50:38.0113,state,idle,0
50:38.0113,state,working,5
50:42.8769,state,idle,0
50:42.8769,state,working,1
50:43.7583,state,idle,0
50:43.7583,state,working,6
50:50.0668,state,idle,0
50:50.0668,state,working,4
50:53.5794,state,idle,0
50:53.5794,state,working,13
51:06.6941,state,idle,0
51:06.6941,state,working,3
51:09.5794,state,idle,0
51:09.5794,state,working,8
51:17.5794,state,idle,0
51:17.5794,state,working,8
51:25.5794,state,idle,0
51:25.5794,state,working,8
51:33.5794,state,idle,0
51:33.5794,state,working,8
51:41.5794,state,idle,0
51:41.5794,state,working,8
51:49.5794,state,idle,0
51:49.5794,state,working,8
51:57.5794,state,idle,0
51:57.5794,state,working,21
52:18.3624,state,idle,0
52:18.3624,state,working,1
52:19.6517,state,idle,0
52:19.6517,state,working,31
52:50.3309,state,idle,0
52:50.3309,state,working,14
53:04.1811,state,idle,0
53:04.1811,state,working,1
53:04.9811,state,idle,0
53:04.9811,state,working,13
53:18.1781,state,idle,0
53:18.1781,state,working,2
53:20.6388,state,idle,0
53:20.6388,state,working,4
53:24.2429,state,idle,0
53:24.2429,state,working,9
53:33.1618,state,idle,0
53:33.1618,state,working,18
53:50.7769,state,idle,0
53:50.7769,state,working,3
53:53.7826,state,idle,0
53:53.7826,state,working,9
54:02.3180,state,idle,0
54:02.3180,state,working,6
54:08.7125,state,idle,0
54:08.7125,state,working,16
54:24.2242,state,idle,0
54:24.2242,state,working,5
54:28.9278,state,idle,0
54:28.9278,state,working,4
54:33.0742,state,idle,0
54:33.0742,state,working,2
54:34.9442,state,idle,0
54:34.9442,state,working,7
54:41.7088,state,idle,0
54:41.7088,state,working,11
54:52.3217,state,idle,0
54:52.3217,state,working,1
54:53.1217,state,idle,0
54:53.1217,state,working,1
54:53.9217,state,idle,0
54:53.9217,state,working,8
55:02.0929,state,idle,0
55:02.0929,state,working,5
55:07.5117,state,idle,0
55:07.5117,state,working,5
55:12.8386,state,idle,0
55:12.8386,state,working,16
55:29.2948,state,idle,0
55:29.2948,state,working,1
55:30.3769,state,idle,0
55:30.3769,state,working,4
55:34.2035,state,idle,0
55:34.2035,state,working,7
55:41.5794,state,idle,0
55:41.5794,state,working,17
55:58.5677,state,idle,0
55:58.5677,state,working,2
56:00.2470,state,idle,0
56:00.2470,state,working,5
56:05.5794,state,idle,0
56:05.5794,state,working,8
56:13.5794,state,idle,0
56:13.5794,state,working,12
56:25.3760,state,idle,0
56:25.3760,state,working,4
56:29.5794,state,idle,0
56:29.5794,state,working,13
56:42.6312,state,idle,0
56:42.6312,state,working,3
56:45.5794,state,idle,0
56:45.5794,state,working,21
57:06.1840,state,idle,0
57:06.1840,state,working,7
57:13.6572,state,idle,0
57:13.6572,state,working,4
57:17.7732,state,idle,0
57:17.7732,state,working,6
57:23.3524,state,idle,0
57:23.3524,state,working,6
57:28.9449,state,idle,0
57:28.9449,state,working,5
57:33.5794,state,idle,0
57:33.5794,state,working,8
57:41.5794,state,idle,0
57:41.5794,state,working,11
57:52.2876,state,idle,0
57:52.2876,state,working,5
57:57.5794,state,idle,0
57:57.5794,state,working,8
58:05.5794,state,idle,0
58:05.5794,state,working,8
58:13.5794,state,idle,0
58:13.5794,state,working,11
58:24.4520,state,idle,0
58:24.4520,state,working,24
58:48.8806,state,idle,0
58:48.8806,state,working,9
58:57.4722,state,idle,0
58:57.4722,state,working,1
58:58.2722,state,idle,0
58:58.2722,state,working,2
59:00.0376,state,idle,0
59:00.0376,state,working,2
59:01.5794,state,idle,0
59:01.5794,state,working,9
59:10.4916,state,idle,0
59:10.4916,state,working,7
59:17.5794,state,idle,0
59:17.5794,state,working,8
59:25.5956,state,idle,0
59:25.5956,state,working,8
59:33.5794,state,idle,0
59:33.5794,state,working,21
59:54.3957,state,idle,0
59:54.3957,state,working,9
1:00:03.3835,state,idle,0
1:00:03.3835,state,working,1
1:00:04.1835,state,idle,0
1:00:04.1835,state,working,5
1:00:09.5327,state,idle,0
1:00:09.5327,state,working,13
1:00:22.1345,state,idle,0
1:00:22.1345,state,working,2
1:00:24.6323,state,idle,0
1:00:24.6323,state,working,7
1:00:31.3382,state,idle,0
1:00:31.3382,state,working,6
1:00:37.5794,state,idle,0
1:00:37.5794,state,working,9
1:00:46.8244,state,idle,0
1:00:46.8244,state,working,49
1:01:36.1362,state,idle,0
1:01:36.1362,state,working,11
1:01:47.2964,state,idle,0
1:01:47.2964,state,working,14
1:02:01.1869,state,idle,0
1:02:01.1869,state,working,4
1:02:04.8278,state,idle,0
1:02:04.8278,state,working,5
1:02:10.2276,state,idle,0
1:02:10.2276,state,working,3
1:02:13.6598,state,idle,0
1:02:13.6598,state,working,10
1:02:23.3203,state,idle,0
1:02:23.3203,state,working,20
1:02:43.7766,state,idle,0
1:02:43.7766,state,working,1
1:02:44.5766,state,idle,0
1:02:44.5766,state,working,21
1:03:05.7131,state,idle,0
1:03:05.7131,state,working,1
1:03:06.7251,state,idle,0
1:03:06.7251,state,working,10
1:03:17.0688,state,idle,0
1:03:17.0688,state,working,14
1:03:31.0462,state,idle,0
1:03:31.0462,state,working,4
1:03:34.8019,state,idle,0
1:03:34.8019,state,working,1
1:03:36.1109,state,idle,0
1:03:36.1109,state,working,1
1:03:36.9109,state,idle,0
1:03:36.9109,state,working,7
1:03:43.8264,state,idle,0
1:03:43.8264,state,working,3
1:03:46.5538,state,idle,0
1:03:46.5538,state,working,7
1:03:53.2412,state,idle,0
1:03:53.2412,state,working,2
1:03:55.6163,state,idle,0
1:03:55.6163,state,working,28
1:04:23.9669,state,idle,0
1:04:23.9669,state,working,9
1:04:32.8713,state,idle,0
1:04:32.8713,state,working,2
1:04:34.3794,state,idle,0
1:04:34.3794,state,working,12
1:04:46.8213,state,idle,0
1:04:46.8213,state,working,18
1:05:04.7938,state,idle,0
1:05:04.7938,state,working,3
1:05:07.7171,state,idle,0
1:05:07.7171,state,working,3
1:05:11.0770,state,idle,0
1:05:11.0770,state,working,1
1:05:12.4698,state,idle,0
1:05:12.4698,state,working,11
1:05:23.8347,state,idle,0
1:05:23.8347,state,working,18
1:05:42.1875,state,idle,0
1:05:42.1875,state,working,4
1:05:46.2092,state,idle,0
1:05:46.2092,state,working,3
1:05:49.4049,state,idle,0
1:05:49.4049,state,working,13
1:06:02.7209,state,idle,0
1:06:02.7209,state,working,1
1:06:03.5209,state,idle,0
1:06:03.5209,state,working,11
1:06:14.3947,state,idle,0
1:06:14.3947,state,working,3
1:06:17.3867,state,idle,0
1:06:17.3867,state,working,27
1:06:44.8428,state,idle,0
1:06:44.8428,state,working,1
1:06:45.6428,state,idle,0
1:06:45.6428,state,working,5
1:06:50.5534,state,idle,0
1:06:50.5534,state,working,5
1:06:55.6125,state,idle,0
1:06:55.6125,state,working,14
1:07:09.5038,state,idle,0
1:07:09.5038,state,working,11
1:07:20.3289,state,idle,0
1:07:20.3289,state,working,8
1:07:27.9148,state,idle,0
1:07:27.9148,state,working,9
1:07:36.9886,state,idle,0
1:07:36.9886,state,working,5
1:07:41.8749,state,idle,0
1:07:41.8749,state,working,1
1:07:43.1504,state,idle,0
1:07:43.1504,state,working,25
1:08:07.6655,state,idle,0
1:08:07.6655,state,working,18
1:08:25.9175,state,idle,0
1:08:25.9175,state,working,3
1:08:28.4635,state,idle,0
1:08:28.4635,state,working,11
